run,universe,direction,horizon_h,comparison,diff_gross,t_gross,p_gross,diff_net,se,t_stat_clustered,p_value_raw,ci_lo,ci_hi,diff_neutral_gross,t_neutral_gross,ci_lo_neutral,ci_hi_neutral,diff_neutral_net,t_neutral_net,n_days,n_obs,p_value_bonferroni
R5,exec,short,48,Q5 - Q1,-0.0004760003825942976,-0.31312833692396264,0.7542727233866799,-0.0018096035540633973,0.0013120745561692917,-1.379192627091773,0.16825949657949402,-0.0043855108708083694,0.0007663037626815747,-0.0004696929365213591,-0.3089941405209575,-0.003453931356347816,0.002514545483305098,-0.0019043154461283892,-1.2129206262374779,728,103605,1.0
R6,exec,long,48,Q5|L1 - Q1|L1,0.000684140341284466,0.3252976136881878,0.7450491746532953,-0.0016898363612118958,0.0021251249137984526,-0.7951703686874005,0.4267739301853796,-0.0058619505057256145,0.0024822777833018233,-0.0009325011240626651,-0.5693867438708365,-0.004147728893892925,0.0022827266457675945,-0.0034278360203097535,-2.0703570437269625,728,24913,1.0
R6,exec,short,48,Q5|L1 - Q1|L1,-0.000684140341284466,-0.3252976136881878,0.7450491746532953,0.0016898363612118342,0.002125124913798452,0.7951703686873717,0.4267739301853963,-0.002482277783301884,0.005861950505725552,0.0009325011240626651,0.5693867438708365,-0.0022827266457675945,0.004147728893892925,0.0034278360203097457,2.070357043726957,728,24913,1.0
R6,exec,long,48,Q5|L2 - Q1|L2,0.007350567876522317,4.050824458223944,5.651118436738939e-05,0.00322183410815791,0.0018214514299917128,1.7688279001612295,0.07734185396152747,-0.0003540984053949782,0.006797766621710798,0.006845776640506744,4.776760728099601,0.004032198574679371,0.009659354706334116,0.0026753362348318284,1.8552870294091144,728,35443,1.0
R6,exec,short,48,Q5|L2 - Q1|L2,-0.007350567876522317,-4.050824458223944,5.651118436738939e-05,-0.003221834108157933,0.0018214514299917143,-1.7688279001612406,0.07734185396152557,-0.006797766621710824,0.00035409840539495823,-0.006845776640506744,-4.776760728099601,-0.009659354706334116,-0.004032198574679371,-0.0026753362348318423,-1.8552870294091248,728,35443,1.0
R6,exec,long,48,Q5|L3 - Q1|L3,0.009610652801631498,4.56166467836283,5.952861003485759e-06,0.0030973792052050608,0.0021150523942175805,1.4644456154717962,0.14350450807301796,-0.0010549602422349068,0.007249718652645029,0.007834846928352644,4.092221944777471,0.004076117466165784,0.011593576390539505,0.0013545577698968636,0.7041049827777279,728,42892,1.0
R6,exec,short,48,Q5|L3 - Q1|L3,-0.009610652801631498,-4.56166467836283,5.952861003485759e-06,-0.0030973792052050556,0.002115052394217581,-1.4644456154717933,0.14350450807301884,-0.007249718652645024,0.0010549602422349129,-0.007834846928352644,-4.092221944777471,-0.011593576390539505,-0.004076117466165784,-0.0013545577698968465,-0.7041049827777192,728,42892,1.0
R1,live_diag,long,48,Q5 - Q1,0.0075040018171323815,5.248057419573794,2.017686614136876e-07,0.002498492731516036,0.0014226783031759025,1.756189523617918,0.07947708589303512,-0.0002945554480207136,0.005291540911052785,0.006152301948692252,5.769011273592895,0.0040586427646592494,0.008245961132725254,0.0011155871555000641,1.0604605873209756,728,100704,1.0
R1,live_diag,short,48,Q5 - Q1,-0.0075040018171323815,-5.248057419573794,2.017686614136876e-07,-0.0024984927315160267,0.0014226783031759025,-1.7561895236179115,0.0794770858930362,-0.005291540911052776,0.0002945554480207227,-0.006152301948692252,-5.769011273592895,-0.008245961132725254,-0.0040586427646592494,-0.0011155871554999917,-1.0604605873209072,728,100704,1.0
R1,live_diag,long,48,D10 - D1,0.009102456290751704,5.021222636625912,6.461061705090019e-07,0.0008415097374611176,0.0018024413231763265,0.4668721953057418,0.6407312003864838,-0.0026971015179303257,0.004380120992852561,0.0097539805880839,5.982961326791617,0.006553350943081158,0.012954610233086642,0.0014819426032352445,0.9156168972961054,728,52604,1.0
R1,live_diag,short,48,D10 - D1,-0.009102456290751704,-5.021222636625912,6.461061705090019e-07,-0.0008415097374611137,0.0018024413231763265,-0.46687219530573965,0.6407312003864853,-0.004380120992852557,0.0026971015179303296,-0.0097539805880839,-5.982961326791617,-0.012954610233086642,-0.006553350943081158,-0.0014819426032351849,-0.9156168972960683,728,52604,1.0
